table_no,record_name,title,year,author_st,taxonomic_group_st,issue,latin_family_name,latin_name,danish_genus_name,danish_family_name,danish_species_epithet,copyright
1,floradanica_0001.tif,Rubus Chamaemorus Linn.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Rubus chamaemorus L.,Multebær,Rosenfamilien,,free
2,floradanica_0002.tif,Pedicularis lapponica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Pedicularis lapponica L.,Troldurt,Maskeblomstfamilien,Laplands-,free
3,floradanica_0003.tif,Linnaea borealis (Gronov.) L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caprifoliaceae,Linnaea borealis L. ssp. borealis,Linnæa,Gedebladfamilien,Almindelig,free
4,floradanica_0004.tif,Silene rupestris L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Silene rupestris L.,Limurt,Nellikefamilien,Fjeld-,free
5,floradanica_0005.tif,Cornus suecica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Cornaceae,Cornus suecica L.,Hønsebær,Kornelfamilien,Svensk,free
6,floradanica_0006.tif,Cerastium alpinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Cerastium alpinum L. ssp. alpinum,Hønsetarm,Nellikefamilien,Almindelig Fjeld-,free
7,floradanica_0007.tif,Androsace septentrionalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Primulaceae,Androsace septentrionale L.,Fjeldarve,Kodriverfamilien,Almindelig,free
8,floradanica_0008.tif,Pyrola uniflora L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Pyrolaceae,Moneses uniflora (L.) A.Gray,Vintergrøn,Vintergrønfamilien,Enblomstret,free
9,floradanica_0009.tif,Azalea procumbens L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Loiseleuria procumbens (L.) Desv.,Kryblyng,Lyngfamilien,,free
10,floradanica_0010.tif,Andromeda hypnoides L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Cassiope hypnoides (L.) D. Don,Moslyng,Lyngfamilien,,free
11,floradanica_0011.tif,Thalictrum alpinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ranunculaceae,Thalictrum alpinum L.,Frøstjerne,Ranunkelfamilien,Fjeld-,free
12,floradanica_0012.tif,Stellaria biflora L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Minuartia biflora (L.) Schinz & Thell.,Norel,Nellikefamilien,Toblomstret,free
13,floradanica_0013.tif,Polygonum viviparum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Polygonaceae,Bistorta vivipara (L.) S. F. Gray,Pileurt,Skedeknæfamilien,Topspirende,free
14,floradanica_0014.tif,Rumex digynus L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Polygonaceae,Oxyria digyna (L.) Hill.,Fjeldsyre,Skedeknæfamilien,,free
15,floradanica_0015.tif,Zostera marina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Zosteraceae,Zostera marina L.,Bændeltang,Bændeltangfamlien,Almindelig,free
16,floradanica_0016.tif,Veronica alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Veronica alpina L.,Ærenpris,Maskeblomstfamilien,Alpe-,free
17,floradanica_0017.tif,Gentiana nivalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Gentianaceae,Gentiana nivalis L.,Ensian,Ensianfamilien,Sne-,free
18,floradanica_0018.tif,Lunaria racemosa multifido folio Breyn / Osmunda Lunaria L. / Lunaria racemosa minor adianti folio,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ophioglossaceae,Botrychium virginianum (L.) Swartz in Schrader,Månerude,Slangetungefamilien,Stor,free
19,floradanica_0019.tif,Ranunculus glacialis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ranunculaceae,Ranunculus glacialis L.,Ranunkel,Ranunkelfamilien,Is-,free
20,floradanica_0020.tif,Cardamine bellidifolia L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Brassicaceae,Cardamine bellidifolia L.,Fjeldkarse,Korsblomstfamilien,,free
21,floradanica_0021.tif,Cucubalus acaulis L. (Syst. nat),1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Silene acaulis (L.) Jacq.,Limurt,Nellikefamilien,Tue-,free
22,floradanica_0022.tif,Saxifraga cernua L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Saxifragaceae,Saxifraga sp.,Stenbræk,Stenbrækfamilien,,free
23,floradanica_0023.tif,Saxifraga stellaris L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Saxifragaceae,Saxifraga stellaris L.,Stenbræk,Stenbrækfamilien,Stjerne-,free
24,floradanica_0024.tif,Sedum villosum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Crassulaceae,Sedum villosum L.,Stenurt,Stenurtfamilien,Lådden,free
25,floradanica_0025.tif,Pulmonaria maritima L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Boraginaceae,Mertensia maritima (L.) S. F. Gray,Hestetunge,Rubladfamilien,Nordisk,free
26,floradanica_0026.tif,Pedicularis Sceptrum carolinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Pedicularis sceptrum-carolinum L.,Kongescepter,Maskeblomstfamilien,,free
27,floradanica_0027.tif,Hieracium alpinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Asteraceae,Hieracium alpinum L.,Høgeurt,Kurvblomstfamilien,Fjeld-,free
28,floradanica_0028.tif,Saxifraga nivalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Saxifragaceae,Saxifraga nivalis L.,Stenbræk,Stenbrækfamilien,Sne-,free
29,floradanica_0029.tif,Anemone vernalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ranunculaceae,Pulsatilla vernalis (L.) Miller,Kobjælde,Ranunkelfamilien,Vår-,free
30,floradanica_0030.tif,Pedicularis flammea Oed. (non L.),1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Pedicularis oederi Vahl in Hornem.,Troldurt,Maskeblomstfamilien,Oeders,free
31,floradanica_0031.tif,Dryas octopetala L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Dryas octopetala L.,Fjeldsimmer,Rosenfamilien,Kirtel-,free
32,floradanica_0032.tif,Sibbaldia procumbens L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Sibbaldia procumbens L.,Trefingerurt,Rosenfamilien,,free
33,floradanica_0033.tif,Arbutus Uva ursi L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Arctostaphylos uva-ursi (L.) Spreng.,Melbærris,Lyngfamilien,Hede-,free
34,floradanica_0034.tif,Saxifraga oppositifolia L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Saxifragaceae,Saxifraga oppositifolia L.,Stenbræk,Stenbrækfamilien,Purpur-,free
35,floradanica_0035.tif,Subularia aquatica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Brassicaceae,Subularia aquatica L.,,Korsblomstfamilien,Sylblad,free
36,floradanica_0036.tif,Anthericum calyculatum Oed.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Liliaceae,Tofielda pusilla (Michx.) Pers.,Bjørnebrod,Liljefamilien,Fjeld-,free
37,floradanica_0037.tif,Serratula alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Asteraceae,Saussurea alpina (L.) DC.,Fjeldskær,Kurvblomstfamilien,Nordisk,free
38,floradanica_0038.tif,Erica cinerea L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Erica cinerea L.,Grålyng,Lyngfamilien,,free
39,floradanica_0039.tif,Lobelia Dortmanna L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Campanulaceae,Lobelia dortmanna L.,Lobelie,Klokkefamilien,Tvepibet,free
40,floradanica_0040.tif,Vaccinium Vitis idaea L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Vaccinium vitis-idaea L. ssp. vitis-idaea,Tyttebær,Lyngfamilien,Almindelig,free
41,floradanica_0041.tif,Papaver nudicaule L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Papaveraceae,Papaver radicatum Rottb.,Valmue,Valmuefamilien,Fjeld-,free
42,floradanica_0042.tif,Anthericum Ossifragum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Liliaceae,Narthecium ossifragum (L.) Hudson,Benbræk,Liljefamilien,,free
43,floradanica_0043.tif,Bartsia alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Bartsia alpina L.,Sorttop,Maskeblomstfamilien,,free
44,floradanica_0044.tif,Buxbaumia aphylla L.,1761,G. C. Oeder,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,,,,,,free
45,floradanica_0045.tif,Blasia pusilla L.,1761,G. C. Oeder,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,,,,,,free
46,floradanica_0046.tif,Viola biflora L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Violaceae,Viola biflora L.,Viol,Violfamilien,Fjeld-,free
47,floradanica_0047.tif,Diapensia lapponica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Diapensiaceae,Diapensia lapponica L.,Fjeldpryd,Fjeldprydfamilien,,free
48,floradanica_0048.tif,Galium trifidum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rubiaceae,Galium trifidum L.,Snerre,Krapfamilien,Trekløftet,free
49,floradanica_0049.tif,Alchemilla alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Alchemilla alpina L.,Løvefod,Rosenfamilien,Bjerg-,free
50,floradanica_0050.tif,Gentiana purpurea L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Gentianaceae,Gentiana purpurea L.,Ensian,Ensianfamilien,Purpur-,free
51,floradanica_0051.tif,Astragalus alpinus L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Fabaceae,Astragalus alpinus L.,Astragel,Ærteblomstfamilien,Alpe-,free
52,floradanica_0052.tif,Veronica spicata L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Veronica spicata L.,Ærenpris,Maskeblomstfamilien,Aks-,free
53,floradanica_0053.tif,Phallus esculentus L.,1761,G. C. Oeder,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,,Morchella esculenta (L.) Pers.,,,,free
54,floradanica_0054.tif,Andromeda polifolia L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Andromeda polifolia L.,Rosmarinlyng,Lyngfamilien,,free
55,floradanica_0055.tif,Pyrola minor L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Pyrolaceae,Pyrola minor L.,Vintergrøn,Vintergrønfamilien,Liden,free
56,floradanica_0056.tif,Draba alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Brassicaceae,Draba alpina L.,Draba,Korsblomstfamilien,Alpe-,free
57,floradanica_0057.tif,Andromeda coerulea L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Phyllodoce caerulea (L.) Bab.,Blålyng,Lyngfamilien,,free
58,floradanica_0058.tif,Vicia lathyroides L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Fabaceae,Vicia lathyroides L.,Vikke,Ærteblomstfamilien,Vår-,free
59,floradanica_0059.tif,Sedum rupestre Oed. (non L.),1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Crassulaceae,Sedum annuum L.,Stenurt,Stenurtfamilien,Liden,free
60,floradanica_0060.tif,Acrostichon septentrionale L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Aspleniaceae,Asplenium septentrionale (L.) Hoffm.,Radeløv,Radeløvfamilien,Nordisk,free
61,floradanica_0061.tif,Tussilago frigida L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Asteraceae,Petasites frigidus (L.) Fries,Hestehov,Kurvblomstfamilien,Fjeld-,free
62,floradanica_0062.tif,Arabis alpina L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Brassicaceae,Arabis alpina L.,Kalkkarse,Korsblomstfamilien,Fjeld-,free
63,floradanica_0063.tif,Arnica montana L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Asteraceae,Arnica montana L.,Guldblomme,Kurvblomstfamilien,Almindelig,free
64,floradanica_0064.tif,Peplis portula L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lythraceae,Peplis portula,Vandportulak,Kattehalefamilien,,free
65,floradanica_0065.tif,Lychnis alpina L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Caryophyllaceae,Lychnis alpina L. ssp. alpina,Tjærenellike,Nellikefamilien,Alpe-,free
66,floradanica_0066.tif,Sedum album L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Crassulaceae,Sedum album L.,Stenurt,Stenurtfamilien,Hvid,free
67,floradanica_0067.tif,Zannichellia palustris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Zannichelliaceae,Zannichellia palustris L. s.l.,Vandkrans,Vandkransfamilien,,free
68,floradanica_0068.tif,Saxifraga sp. (petraea L.)?,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Saxifragaceae,Saxifraga adscendens L.,Stenbræk,Stenbrækfamilien,Toårig,free
69,floradanica_0069.tif,Limosella aquatica L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Scrophulariaceae,Limosella aquatica L.,Dyndurt,Maskeblomstfamilien,,free
70,floradanica_0070.tif,Lycopodium selaginoides L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Selaginellaceae,Selaginella selaginoides (L.) Beauv. ex Schrank & C. P. F. Mart.,Dværgulvefod,Dværgulvefodfamilien,Mos-,free
71,floradanica_0071.tif,Saxifraga caespitosa? Oed.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Saxifragaceae,Saxifraga cespitosa L.,Stenbræk,Stenbrækfamilien,Tue-,free
72,floradanica_0072.tif,Saxifraga autumnalis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Saxifragaceae,Saxifraga aizoides L.,Stenbræk,Stenbrækfamilien,Sol-,free
73,floradanica_0073.tif,Arbutus alpina L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ericaceae,Arctostaphylos alpina (L.) Spreng.,Melbærris,Lyngfamilien,Bjerg-,free
74,floradanica_0074.tif,Digitalis.purpurea L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Scrophulariaceae,Digitalis purpurea L.,Fingerbøl,Maskeblomstfamilien,Almindelig,free
75,floradanica_0075.tif,Hypericum pulchrum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Clusiaceae,Hypericum pulchrum L.,Perikon,Perikonfamilien,Smuk,free
76,floradanica_0076.tif,Scheuchzeria palustris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Scheuchzeriaceae,Scheuchzeria palustris L.,Blomstersiv,Blomstersivfamilien,,free
77,floradanica_0077.tif,Satyrium viride L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Orchidaceae,Coeloglossum viride (L.) Hartm.,Poselæbe,Gøgeurtfamilien,,free
78,floradanica_0078.tif,Lycopodium complanatum L. 7),1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lycopodiaceae,Diphasiastrum sp.,Ulvefod,Ulvefodfamilien,,free
79,floradanica_0079.tif,Lycopodium alpinum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lycopodiaceae,Diphasiastrum alpinum (L.) J. Holub,Ulvefod,Ulvefodfamilien,Bjerg-,free
80,floradanica_0080.tif,Vaccinium Oxycoccus L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ericaceae,Vaccinium oxycoccos L. ssp. oxycoccos,Tranebær,Lyngfamilien,Almindelig,free
81,floradanica_0081.tif,Erica Tetralix L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ericaceae,Erica tetralix L.,Klokkelyng,Lyngfamilien,,free
82,floradanica_0082.tif,An Sedum saxatile atrorub.floribus C.Bauh?,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Crassulaceae,Sedum anglicum Hudson,Stenurt,Stenurtfamilien,Engelsk,free
83,floradanica_0083.tif,Viola palustris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Violaceae,Viola palustris L.,Viol,Violfamilien,Eng-,free
84,floradanica_0084.tif,Trientalis europaea L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Primulaceae,Trientalis europaea L.,Skovstjerne,Kodriverfamilien,,free
85,floradanica_0085.tif,Campanula latifolia L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Campanulaceae,Campanula latifolia L.,Klokke,Klokkefamilien,Bredbladet,free
86,floradanica_0086.tif,Convallaria verticillata L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Liliaceae,Polygonatum verticillatum (L.) All.,Konval,Liljefamilien,Krans-,free
87,floradanica_0087.tif,Hippuris vulgaris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Hippuridaceae,Hippuris vulgaris L.,Hestehale,Hestehalefamilien,Almindelig,free
88,floradanica_0088.tif,Anagallis arvensis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Primulaceae,Anagallis arvensis L.,Arve,Kodriverfamilien,Rød,free
89,floradanica_0089.tif,Sison inundatum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Apiaceae,Apium inundatum (L.) Reichenb. fil.,Sumpskærm,Skærmblomstfamilien,Svømmende,free
90,floradanica_0090.tif,Hydrocotyle vulgaris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Apiaceae,Hydrocotyle vulgaris L.,Vandnavle,Skærmblomstfamilien,,free
91,floradanica_0091.tif,Betula nana L. 9),1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Betulaceae,Betula nana L.,Birk,Birkefamilien,Dværg-,free
92,floradanica_0092.tif,Stellaria sp.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Caryophyllaceae,Cerastium cerastoides (L.) Britton,Hønsetarm,Nellikefamilien,Tregriflet,free
93,floradanica_0093.tif,Pinguicula vulgaris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lentibulariaceae,Pinguicula vulgaris L.,Vibefedt,Blærerodfamilien,Almindelig,free
94,floradanica_0094.tif,Adoxa moschatellina L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Adoxaceae,Adoxa moschatellina L.,Desmerurt,Desmerurtfamilien,,free
95,floradanica_0095.tif,Ervum tetraspermum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Fabaceae,Vicia tetrasperma (L.) Schreber,Vikke,Ærteblomstfamilien,Tadder-,free
96,floradanica_0096.tif,Spergula nodosa L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Caryophyllaceae,Sagina nodosa (L.) Fenzl,Firling,Nellikefamilien,Knude-,free
97,floradanica_0097.tif,Sanguisorba officinalis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Rosaceae,Sanguisorba officinalis L.,Kvæsurt,Rosenfamilien,Læge-,free
98,floradanica_0098.tif,Vicia cassubica Oed.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Fabaceae,Vicia orobus DC.,Vikke,Ærteblomstfamilien,Lyng-,free
99,floradanica_0099.tif,Osmunda Spicant L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Blechnaceae,Blechnum spicant (L.) Roth,Kambregne,Kambregnefamilien,Almindelig,free
100,floradanica_0100.tif,Cochlearia danica L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Brassicaceae,Cochlearia danica L.,Kokleare,Korsblomstfamilien,Dansk,free
101,floradanica_0101.tif,Cistus Helianthemum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Cistaceae,Helianthemum nummularium (L.) Miller ssp. obscurum (Celak.) J. Holub,Soløje,Soløjefamilien,Bakke-,free
102,floradanica_0102.tif,Ophrys Monorchis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Orchidaceae,Herminium monorchis (L.) R.Br. in Aiton,Pukkellæbe,Gøgeurtfamilien,,free
103,floradanica_0103.tif,Ophrys anthropophora Oed.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Orchidaceae,Orchis ustulata L.,Gøgeurt,Gøgeurtfamilien,Bakke-,free
104,floradanica_0104.tif,Lycopodium Selago,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lycopodiaceae,Huperzia selago (L.) Bernh. ex Schrank & C. P. F. Mart. ssp. selago,Ulvefod,Ulvefodfamilien,Otteradet,free
105,floradanica_0105.tif,Peziza lentifera L.,1763,G. C. Oeder,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,,Cyathus Crucibulum Hoffm.,,,,free
